volume_number,number,speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,energy,tempo,instrumentalness,mode,artist,title
56,5,,,,,,,,196,,,,,,,Taylor Swift featuring Kendrick Lamar,Bad Blood
56,6,0.0538,5,4,0.0746,-6.455,221560,0.6,219,0.236,0.174,0.67,88.955,0,0,Selena Gomez featuring A$AP Rocky,Good for You
56,7,0.0363,5,4,0.0802,-5.587,214740,0.584,213,0.293,0.00506,0.614,114.075,9.7E-05,0,Demi Lovato,Cool for the Summer
56,8,0.0317,4,4,0.111,-4.856,216454,0.659,216,0.882,0.00216,0.9,118.04,0,1,5 Seconds of Summer,She's Kinda Hot
56,9,0.0753,4,4,0.617,-2.608,211573,0.623,211,0.718,0.119,0.956,149.958,0.000227,0,Fall Out Boy,Uma Thurman
56,10,0.06,1,4,0.349,-5.281,190453,0.795,187,0.818,0.417,0.616,110.015,0,0,Charlie Puth featuring Meghan Trainor,Marvin Gaye
56,11,0.129,7,4,0.155,-4.987,204013,0.564,201,0.328,0.0549,0.714,175.924,0,1,Rachel Platten,Fight Song
56,12,0.0476,4,4,0.0986,-10.48,258987,0.614,255,0.198,0.607,0.379,107.989,0.000464,1,Ed Sheeran,Photograph
56,13,0.0434,0,3,0.177,-7.259,225053,0.63,219,0.435,0.4,0.53,108.038,0,1,Meghan Trainor featuring John Legend,Like I'm Gonna Lose You
56,14,0.0961,10,4,0.0476,-6.605,206880,0.733,205,0.745,0.0187,0.745,74.986,0,0,Shawn Mendes,Stitches
56,15,0.0848,7,4,0.0576,-2.879,202173,0.612,200,0.44,0.0183,0.921,139.986,0,1,Elle King,Ex's & Oh's
56,16,0.0443,9,4,0.0899,-3.535,241613,0.629,242,0.721,0.392,0.878,137.989,0,1,Luke Bryan,Strip It Down
56,17,0.0526,6,3,0.233,-3.305,209120,0.585,208,0.385,0.0678,0.912,108.761,0,1,Nick Fradiani,Beautiful Life
56,18,0.0407,7,4,0.145,-7.102,197253,0.391,193,0.446,0.00658,0.636,200.167,0.000124,1,The Royal Concept,Smile
56,19,0.0357,11,4,0.301,-6.047,195227,0.689,192,0.626,0.00118,0.816,96.999,3.95E-06,0,Connell Cruise,Into the Wild
56,20,0.0345,1,4,0.107,-6.159,240320,0.529,238,0.282,0.0908,0.638,128.007,0,0,Gavin James,Bitter Pill
